key,provinciaId,distritoId,corregimientoId,codigo,nombre_corregimiento,cabecera
1162965,8,1,5,5,Pedro González,0
1162996,8,1,6,6,Saboga,0
1165724,8,4,1,1,Chepo ,1
1165755,8,4,2,2,Cañita,0
1165786,8,4,3,3,Chepillo,0
1165817,8,4,4,4,El Llano,0
1165848,8,4,5,5,Las Margaritas,0
1165879,8,4,6,6,Sta. Cruz De Chinina,0
1165910,8,4,7,7,Tortí,0
1166685,8,5,1,1,Chimán ,1
1166716,8,5,2,2,Brujas,0
1166747,8,5,3,3,Gonzalo Vásquez,0
1166778,8,5,4,4,Unión Santeña,0
1166809,8,5,5,5,Pásiga,0
1168607,8,7,1,1,San Felipe,0
1168638,8,7,2,2,El Chorrillo,0
1168669,8,7,3,3,Santa Ana,0
1168700,8,7,4,4,Calidonia,0
1168731,8,7,5,5,Curundú,0
1168762,8,7,6,6,Betania,0
1168793,8,7,7,7,Bella Vista,0
1168824,8,7,8,8,Pueblo Nuevo,0
1168855,8,7,9,9,San Francisco,0
1168886,8,7,10,10,Parque Lefevre,0
1168917,8,7,11,11,Río Abajo,0
1168948,8,7,12,12,Juan Díaz,0
1168979,8,7,13,13,Pedregal,0
1169010,8,7,14,14,Ancón,0
1169041,8,7,15,15,Chilibre,0
1169072,8,7,16,16,Las Cumbres,0
1169103,8,7,17,17,Pacora,0
1169134,8,7,18,18,San Martín,0
1169165,8,7,19,19,Tocumen,0
1169196,8,7,20,20,Las Mañanitas,0
1169227,8,7,21,21,24 De Diciembre,0
1169258,8,7,22,22,Alcalde Díaz,0
1169289,8,7,23,23,Ernesto Córdoba Campos,0
1171676,8,7,100,25,Don Bosco,0
1171707,8,7,101,26,Las Garzas,0
1171738,8,7,102,27,Caimitillo,0
1170529,8,9,1,1,Amelia D. De Icaza,0
1170560,8,9,2,2,Belisario Porras,0
1170591,8,9,3,3,José D. Espinar,0
1170622,8,9,4,4,Mateo Iturralde,0
1170653,8,9,5,5,Victoriano Lorenzo,0
1170684,8,9,6,6,Arnulfo Arias,0
1170715,8,9,7,7,Belisario Frías,0
1170746,8,9,8,8,Omar Torrijos,0
1170777,8,9,9,9,Rufina Alfaro,0
1172451,8,11,1,1,Taboga ,1
1172482,8,11,2,2,Otoque Occidente,0
1172513,8,11,3,3,Otoque Oriente,0
1311796,13,1,1,1,Arraiján ,1
1311827,13,1,2,2,Juan D. Arosemena,0
1311858,13,1,3,3,Nuevo Emperador,0
1311889,13,1,4,4,Santa Clara,0
1311920,13,1,5,5,Veracruz,0
1311951,13,1,6,6,Vista Alegre,0
1311982,13,1,7,7,Burunga,0
1312013,13,1,8,8,Cerro Silvestre,0
1312044,13,1,9,9,Vacamonte,0
1312757,13,2,1,1,Capira ,1
1312788,13,2,2,2,Caimito,0
1312819,13,2,3,3,Campana,0
1312850,13,2,4,4,Cermeño,0
1312881,13,2,5,5,Cirí De Los Sotos,0
1312912,13,2,6,6,Cirí Grande,0
1312943,13,2,7,7,El Cacao,0
1312974,13,2,8,8,La Trinidad,0
1313005,13,2,9,9,Las Ollas Arriba,0
1313036,13,2,10,10,Lídice,0
1313067,13,2,11,11,Villa Carmen,0
1313098,13,2,12,12,Villa Rosario,0
1313129,13,2,13,13,Santa Rosa,0
1313718,13,3,1,1,Chame ,1
1313749,13,3,2,2,Bejuco,0
1313780,13,3,3,3,Buenos Aires,0
1313811,13,3,4,4,Cabuya,0
1313842,13,3,5,5,Chicá,0
1313873,13,3,6,6,El Líbano,0
1313904,13,3,7,7,Las Lajas,0
1313935,13,3,8,8,Nueva Gorgona,0
1313966,13,3,9,9,Punta Chame,0
1313997,13,3,10,10,Sajalices,0
1314028,13,3,11,11,Sorá,0
1314679,13,4,1,1,Barrio Balboa,0
1314710,13,4,2,2,Barrio Colón,0
